fight_url,date,fighter_0,fighter_1,round,ssl_0,ssa_0,tdl_0,tda_0,kd_0,ctrl_0,ssl_1,ssa_1,tdl_1,tda_1,kd_1,ctrl_1
http://ufcstats.com/fight-details/6c44af21414e4143,2024-08-17,Dricus Du Plessis,Israel Adesanya,1,22,52,0,1,0,0,16,37,0,0,0,0
http://ufcstats.com/fight-details/6c44af21414e4143,2024-08-17,Dricus Du Plessis,Israel Adesanya,2,13,25,3,5,0,208,17,30,0,1,0,2
http://ufcstats.com/fight-details/6c44af21414e4143,2024-08-17,Dricus Du Plessis,Israel Adesanya,3,31,75,0,1,0,0,40,83,0,0,0,0
http://ufcstats.com/fight-details/6c44af21414e4143,2024-08-17,Dricus Du Plessis,Israel Adesanya,4,24,45,1,2,0,11,24,53,0,0,0,7
http://ufcstats.com/fight-details/059f5cf0e9e37627,2024-08-17,Mateusz Gamrot,Dan Hooker,1,26,54,2,4,0,91,20,43,0,0,0,17
http://ufcstats.com/fight-details/059f5cf0e9e37627,2024-08-17,Mateusz Gamrot,Dan Hooker,2,11,17,2,4,0,157,17,34,0,0,0,44
http://ufcstats.com/fight-details/059f5cf0e9e37627,2024-08-17,Mateusz Gamrot,Dan Hooker,3,27,58,1,7,0,51,28,66,0,0,0,27
http://ufcstats.com/fight-details/dd3d8f7066c145b7,2024-08-17,Tai Tuivasa,Jairzinho Rozenstruik,1,9,38,0,0,0,0,19,48,0,0,0,0
http://ufcstats.com/fight-details/dd3d8f7066c145b7,2024-08-17,Tai Tuivasa,Jairzinho Rozenstruik,2,13,38,0,0,0,1,36,69,0,0,0,0
http://ufcstats.com/fight-details/dd3d8f7066c145b7,2024-08-17,Tai Tuivasa,Jairzinho Rozenstruik,3,15,50,0,0,0,0,36,67,0,0,0,1
http://ufcstats.com/fight-details/3c319d4659e6c8fd,2024-08-17,Li Jingliang,Carlos Prates,1,26,66,0,0,0,0,25,36,0,0,1,2
http://ufcstats.com/fight-details/3c319d4659e6c8fd,2024-08-17,Li Jingliang,Carlos Prates,2,15,45,0,0,0,23,30,48,0,0,2,2
http://ufcstats.com/fight-details/43ebfc8914a39061,2024-08-17,Josh Culibao,Ricardo Ramos,1,10,21,0,0,0,2,2,31,0,0,0,161
http://ufcstats.com/fight-details/43ebfc8914a39061,2024-08-17,Josh Culibao,Ricardo Ramos,2,34,61,0,0,1,88,10,33,0,0,0,0
http://ufcstats.com/fight-details/43ebfc8914a39061,2024-08-17,Josh Culibao,Ricardo Ramos,3,26,45,0,0,0,0,15,54,1,1,0,88
http://ufcstats.com/fight-details/b9d5c77ae7a8109b,2024-08-17,Casey O'Neill,Luana Santos,1,24,54,0,1,0,0,16,34,0,0,0,76
http://ufcstats.com/fight-details/b9d5c77ae7a8109b,2024-08-17,Casey O'Neill,Luana Santos,2,25,62,0,1,0,10,12,32,1,4,0,65
http://ufcstats.com/fight-details/b9d5c77ae7a8109b,2024-08-17,Casey O'Neill,Luana Santos,3,34,77,0,0,0,131,13,31,0,1,0,0
http://ufcstats.com/fight-details/bfff6cf22c1c569c,2024-08-17,Jack Jenkins,Herbert Burns,1,39,66,0,0,0,3,15,53,1,2,0,69
http://ufcstats.com/fight-details/bfff6cf22c1c569c,2024-08-17,Jack Jenkins,Herbert Burns,2,20,38,0,0,1,135,6,23,1,6,0,45
http://ufcstats.com/fight-details/bfff6cf22c1c569c,2024-08-17,Jack Jenkins,Herbert Burns,3,14,22,0,0,1,26,3,3,0,1,0,0
http://ufcstats.com/fight-details/ce75f5ecbc0d3dfd,2024-08-17,Tom Nolan,Alex Reyes,1,23,62,0,0,0,0,23,43,2,3,0,89
http://ufcstats.com/fight-details/ce75f5ecbc0d3dfd,2024-08-17,Tom Nolan,Alex Reyes,2,32,63,0,0,0,0,27,55,0,1,0,56
http://ufcstats.com/fight-details/ce75f5ecbc0d3dfd,2024-08-17,Tom Nolan,Alex Reyes,3,29,51,0,0,0,22,19,42,0,1,0,111
http://ufcstats.com/fight-details/ea824ac4b8ed8a35,2024-08-17,Song Kenan,Ricky Glenn,1,22,50,0,4,0,5,9,26,2,6,0,137
http://ufcstats.com/fight-details/ea824ac4b8ed8a35,2024-08-17,Song Kenan,Ricky Glenn,2,34,63,0,0,0,0,14,32,0,6,0,27
http://ufcstats.com/fight-details/ea824ac4b8ed8a35,2024-08-17,Song Kenan,Ricky Glenn,3,31,57,1,1,0,43,17,41,0,3,0,48
http://ufcstats.com/fight-details/15805ae1eea3343e,2024-08-24,Jared Cannonier,Caio Borralho,1,12,34,0,0,0,0,15,32,0,0,0,0
http://ufcstats.com/fight-details/15805ae1eea3343e,2024-08-24,Jared Cannonier,Caio Borralho,2,26,70,0,0,0,0,21,43,0,0,0,0
http://ufcstats.com/fight-details/15805ae1eea3343e,2024-08-24,Jared Cannonier,Caio Borralho,3,15,58,0,0,0,0,37,58,0,0,0,5
http://ufcstats.com/fight-details/15805ae1eea3343e,2024-08-24,Jared Cannonier,Caio Borralho,4,19,50,0,0,0,0,30,53,0,0,0,0
http://ufcstats.com/fight-details/15805ae1eea3343e,2024-08-24,Jared Cannonier,Caio Borralho,5,11,42,0,0,0,0,50,69,0,1,1,114
http://ufcstats.com/fight-details/70afe9e0d2422252,2024-08-24,Angela Hill,Tabatha Ricci,1,21,47,0,0,0,5,27,62,0,0,0,127
http://ufcstats.com/fight-details/70afe9e0d2422252,2024-08-24,Angela Hill,Tabatha Ricci,2,44,79,0,1,0,0,35,76,2,2,0,118
http://ufcstats.com/fight-details/70afe9e0d2422252,2024-08-24,Angela Hill,Tabatha Ricci,3,47,90,0,1,0,5,39,101,1,2,0,59
http://ufcstats.com/fight-details/5c5523a6bf83e44f,2024-08-24,Robert Valentin,Ryan Loder,1,0,1,0,0,0,98,4,5,1,2,0,188
http://ufcstats.com/fight-details/5c5523a6bf83e44f,2024-08-24,Robert Valentin,Ryan Loder,2,1,1,0,1,0,0,38,47,0,1,0,97
http://ufcstats.com/fight-details/bad06a5380d762b8,2024-08-24,Kaan Ofli,Mairon Santos,1,7,20,0,0,0,89,19,43,0,0,0,0
http://ufcstats.com/fight-details/bad06a5380d762b8,2024-08-24,Kaan Ofli,Mairon Santos,2,5,8,0,0,0,4,12,24,0,0,1,2
http://ufcstats.com/fight-details/2cbd53e43d3f606b,2024-08-24,Edmen Shahbazyan,Gerald Meerschaert,1,22,50,0,0,0,3,14,33,0,1,0,0
http://ufcstats.com/fight-details/2cbd53e43d3f606b,2024-08-24,Edmen Shahbazyan,Gerald Meerschaert,2,26,63,0,0,0,138,7,11,1,5,0,21
http://ufcstats.com/fight-details/560f1e26c2a6690a,2024-08-24,Dennis Buzukja,Francis Marshall,1,6,16,0,0,0,0,6,19,1,2,0,236
http://ufcstats.com/fight-details/560f1e26c2a6690a,2024-08-24,Dennis Buzukja,Francis Marshall,2,30,52,0,0,0,0,23,56,0,1,1,61
http://ufcstats.com/fight-details/560f1e26c2a6690a,2024-08-24,Dennis Buzukja,Francis Marshall,3,30,77,0,1,0,8,28,75,0,3,0,29
http://ufcstats.com/fight-details/d2caa1ddb9de7481,2024-08-24,Zach Reese,Jose Daniel Medina,1,34,54,1,3,0,128,4,15,1,1,0,46
http://ufcstats.com/fight-details/d2caa1ddb9de7481,2024-08-24,Zach Reese,Jose Daniel Medina,2,26,53,0,0,0,0,18,41,0,1,0,26
http://ufcstats.com/fight-details/d2caa1ddb9de7481,2024-08-24,Zach Reese,Jose Daniel Medina,3,15,22,4,6,0,229,10,18,0,0,0,0
http://ufcstats.com/fight-details/ba8eda6993922ba0,2024-08-24,Viacheslav Borshchev,James Llontop,1,26,61,0,0,0,0,26,63,0,0,0,3
http://ufcstats.com/fight-details/ba8eda6993922ba0,2024-08-24,Viacheslav Borshchev,James Llontop,2,37,85,0,0,0,3,25,77,0,0,0,0
http://ufcstats.com/fight-details/ba8eda6993922ba0,2024-08-24,Viacheslav Borshchev,James Llontop,3,33,83,0,1,0,0,42,109,0,0,0,2
http://ufcstats.com/fight-details/903d588b30a471e8,2024-08-24,Jacqueline Cavalcanti,Josiane Nunes,1,34,62,0,0,0,0,20,52,0,0,0,0
http://ufcstats.com/fight-details/903d588b30a471e8,2024-08-24,Jacqueline Cavalcanti,Josiane Nunes,2,31,60,0,0,0,0,18,48,0,0,0,0
http://ufcstats.com/fight-details/903d588b30a471e8,2024-08-24,Jacqueline Cavalcanti,Josiane Nunes,3,26,49,0,0,0,0,14,53,0,0,0,8
http://ufcstats.com/fight-details/ee9ade72b44dfa06,2024-09-07,Gilbert Burns,Sean Brady,1,6,14,0,1,0,40,23,42,1,4,0,135
http://ufcstats.com/fight-details/ee9ade72b44dfa06,2024-09-07,Gilbert Burns,Sean Brady,2,8,20,1,1,0,45,33,54,0,2,0,86
http://ufcstats.com/fight-details/ee9ade72b44dfa06,2024-09-07,Gilbert Burns,Sean Brady,3,17,27,0,3,0,28,19,38,1,3,0,146
http://ufcstats.com/fight-details/ee9ade72b44dfa06,2024-09-07,Gilbert Burns,Sean Brady,4,7,16,0,1,0,50,24,34,2,4,0,108
