fight_url,date,fighter_0,fighter_1,round,ssl_0,ssa_0,tdl_0,tda_0,kd_0,ctrl_0,ssl_1,ssa_1,tdl_1,tda_1,kd_1,ctrl_1
http://ufcstats.com/fight-details/d063d46208c560b1,2024-09-28,Taylor Lapilus,Vince Morales,2,30,58,0,0,0,0,16,41,1,3,0,84
http://ufcstats.com/fight-details/d063d46208c560b1,2024-09-28,Taylor Lapilus,Vince Morales,3,29,63,0,0,0,10,12,55,1,3,0,98
http://ufcstats.com/fight-details/47d978a984a163aa,2024-09-28,Daniel Barez,Victor Altamirano,1,22,34,0,0,1,69,15,43,0,0,0,0
http://ufcstats.com/fight-details/47d978a984a163aa,2024-09-28,Daniel Barez,Victor Altamirano,2,24,50,0,0,0,0,21,55,0,1,0,0
http://ufcstats.com/fight-details/47d978a984a163aa,2024-09-28,Daniel Barez,Victor Altamirano,3,21,46,0,0,0,0,35,79,0,0,0,0
http://ufcstats.com/fight-details/a187670c5ee1ec5f,2024-09-28,Nora Cornolle,Jacqueline Cavalcanti,1,16,27,1,1,0,101,11,43,0,0,0,34
http://ufcstats.com/fight-details/a187670c5ee1ec5f,2024-09-28,Nora Cornolle,Jacqueline Cavalcanti,2,17,32,0,5,0,111,13,41,0,0,0,27
http://ufcstats.com/fight-details/a187670c5ee1ec5f,2024-09-28,Nora Cornolle,Jacqueline Cavalcanti,3,21,55,0,3,0,24,30,70,0,0,0,8
http://ufcstats.com/fight-details/8c5e06c71f392f33,2024-10-05,Alex Pereira,Khalil Rountree Jr.,1,15,27,0,0,0,0,10,42,0,0,0,0
http://ufcstats.com/fight-details/8c5e06c71f392f33,2024-10-05,Alex Pereira,Khalil Rountree Jr.,2,18,41,0,0,0,0,11,42,0,0,0,0
