fighter,ew_avg_SIG_STR_pct,ew_avg_SIG_STR_landed,ew_avg_TD_pct,ew_avg_TD_landed,ew_avg_SUB_ATT,ew_ko_finish_rate
Eric Schafer,0.4829898607102077,17.049905224083826,0.1971885519828469,0.8768226934167144,1.0860464617762244,0.3333333333333333
Jason Brilz,0.5500002731635988,29.396985277260146,0.3551462140067528,1.7970057953425793,1.0106686118758768,0.33139745356022643
Brandon Vera,0.5644490056526817,31.564051922890513,0.3328160586780761,0.5445492430926173,0.1564649823091432,0.4815465575324511
Jon Jones,0.6086916835682342,48.662701760967536,0.48732349177187634,1.893782243465452,0.6060027360256978,0.19789335605408087
Junior Dos Santos,0.451938029023716,-27.68719559309704,0.748479862856657,0.33409065088144874,0.13311336627233494,0.6286528513525969
Gabriel Gonzaga,0.535032999176398,13.875847866144776,0.3666832821252971,1.0977795257366663,0.4728402370083404,0.5412915996126941
Cheick Kongo,0.5708804377484903,33.39471588540866,0.41151563041228345,1.3980343188384499,0.16023848848194588,0.5253019911353878
Paul Buentello,0.466,25.8,0.1,0.2,0.4,0.6666666666666666
Alessio Sakara,0.4764182039673219,19.822162852026672,0.09698623466186,0.6472788328594188,0.0,0.6723389676551268
James Irvin,0.5330999671379797,5.336870130352682,0.0,0.0,0.11050426396275798,0.75
Mike Pierce,0.4514741713306404,28.40491572185475,0.39743709257977883,2.217005287927184,0.19913245764437532,0.36263201336258527
Julio Paulino,0.27,17.0,0.0,0.0,0.0,0.0
Eliot Marshall,0.2963353820990179,19.567941313858263,0.1862360650884877,0.1862129517106106,0.37241819896192896,0.0
Vladimir Matyushenko,0.503771201378203,16.801778378065485,0.3942762629685802,1.6172393730515822,0.08331764770324858,0.4558716239259395
Duane Ludwig,0.4553144708948621,40.161235120836906,0.06906716520740323,0.13686822290188747,0.0,0.22772618332086428
Darren Elkins,0.40977067325728744,-6.23139795645266,0.33177748767518306,3.320848646739496,1.0495573675386858,-0.02521887082405699
John Howard,0.5684063113599475,28.968763035328728,0.36065333628820345,1.9350919961551423,0.3019422509414387,0.23311086576423212
Daniel Roberts,0.2267049343998716,7.998048147173814,0.5726549981077715,1.7907746164030072,1.3272939657285572,0.0
Brendan Schaub,0.4594286182058065,21.86935690883579,0.27504137617057667,1.2160197572224873,0.24723120636238136,0.43725640692730783
Chase Gormley,0.34,8.0,1.0,1.0,1.0,0.0
Clay Guida,0.31944717003560685,-9.784215731715495,0.3435385358966266,3.218597516713951,0.5437292433139933,0.08842460281681003
Shannon Gugerty,0.333,10.75,0.663,1.25,1.25,0.0
Matthew Riddle,0.4993064026915054,43.46421099082143,0.5679427860561429,3.2703859682235046,0.5784063996536589,0.16656362691678092
Greg Soto,0.6169056354574847,46.049271396569125,0.21470804054202103,1.533628861014436,0.5112096203381453,0.0
Rodney Wallace,0.4660648935558176,24.724810861783713,0.6544962172356743,9.04732860248078,1.4881678493798047,0.0
Jared Hamman,0.40140400823045025,46.93224834506897,0.14346993142762407,0.2860426636054105,0.0,0.5326076873301503
Rousimar Palhares,0.34413236094267263,11.861336579566233,0.3861248084117694,1.1517325727595409,1.196951868281613,0.0
Tomasz Drwal,0.3594613676787437,22.713218287393147,0.5372169890583423,1.7775562137959855,0.1975062459773317,0.6666666666666666
Ricardo Almeida,0.557003799607099,20.932406679961247,0.4643054909376375,3.1180608548572124,1.0746987525698222,0.0
Matt Brown,0.5412144016125645,-19.346066948209657,0.509020959805605,2.2414847309245847,1.3416101183616984,-0.3794295339156144
Nate Diaz,0.4646643892285293,-12.078451806177325,0.27343707080282514,1.1680669335864404,1.3585361694052893,0.4527592491997174
Rory Markham,0.275,4.0,0.0,0.0,0.0,1.0
Frank Mir,0.48447850675864157,13.517601650077031,0.243120500878626,0.7634039160907027,0.6816422071419237,0.37253187956535116
Shane Carwin,0.5104601679919214,22.96389173587596,0.09604643659960585,0.19210719299226237,0.0,1.0
Ben Saunders,0.4386751263859291,-18.930462192443507,0.5843227697849877,0.2603718583237556,1.0917899391681833,0.5167844355681086
Jon Fitch,0.4891789861151707,37.15774523818777,0.5135818660602062,3.4847776635575105,0.7551570824393294,0.06817987951866322
Kurt Pellegrino,0.4719009793660914,23.529847552591008,0.6818947960200763,2.0984589658474424,0.63301771130879,0.14217625260935737
Fabricio Camoes,0.4357949220894509,12.68411684490018,0.24613866206503218,1.3098689902313208,0.8331896174955492,0.0
Georges St-Pierre,0.5489197796615747,64.64528746605889,0.7104186721518126,4.229667269792026,1.0344343815192942,0.2215002213663229
Dan Hardy,0.3374369943961953,26.451336214967583,0.18836569959258792,0.3284937336677036,0.3547264356157159,0.4348604886651207
Jim Miller,0.4380487323498418,15.005280903824145,0.47557580732680194,0.9753958027467938,1.0758183354737134,0.27941488711785367
Mark Bocek,0.41485163251250506,24.477773521175802,0.5003917418224026,2.7408912111039156,1.037997163328826,0.0
Jacob Volkmann,0.3750743624818768,13.546626749942403,0.3907159069312348,2.1588822459909602,1.7358370237687517,0.0
Ronys Torres,0.12,6.0,0.38,5.0,1.0,0.0
Gerald Harris,0.32288171615020234,15.843925364244528,0.5084638895897863,2.0616849296743243,0.0,1.0
Mario Miranda,0.4643882662823686,23.816491832680935,0.3274539374854857,0.9834215549214139,0.0,1.0088618582666016
Yushin Okami,0.3725299263123323,21.47216530510963,0.3303640781726566,1.7716426039953832,0.38727244434761526,0.2537446911697587
Lucio Linhares,0.29,8.0,1.0,2.0,2.0,0.0
Rob Emerson,0.427,26.833299999999998,0.338,1.6666999999999998,0.1667,0.3333333333333333
