fighter,weight_class,n_fights,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TD_pct,avg_TD_landed,avg_SUB_ATT,ko_finish_rate,cluster_id,style
Marcin Prachnio,Light Heavyweight,11,0.54,5.52,0.2,0.14,0.0,0.25,2,Well-Rounded
Marcin Tybura,Heavyweight,24,0.48,3.56,0.33,1.3,0.1,0.35714285714285715,2,Well-Rounded
Marco Tulio,Middleweight,3,0.58,6.69,0.26,1.42,0.3,0.75,4,Pressure Striker
Marcos Rogerio De Lima,Heavyweight,12,0.57,3.7,0.45,1.4,0.5,0.5,4,Pressure Striker
Marcus Brimage,Bantamweight,4,0.326,44.2857,0.286,0.4286,0.0,0.25,0,Volume Striker
Marcus Buchecha,Heavyweight,3,0.5527,6.5688,0.1514,2.0316,0.6772,1.0,4,Pressure Striker
Marcus Levesseur,Lightweight,3,0.59,30.0,0.71,2.5,0.5,0.0,3,Wrestler/Grappler
Marcus Mcghee,Bantamweight,4,0.45,5.5,0.14,0.31,0.3,0.5,4,Pressure Striker
Maria Oliveira,Women's Strawweight,4,0.38,5.03,0.44,0.95,0.0,0.0,2,Well-Rounded
Marina Rodriguez,Women's Strawweight,12,0.46,4.51,0.5,0.27,0.3,0.375,2,Well-Rounded
Mario Bautista,Bantamweight,14,0.48,5.3,0.38,1.91,0.8,0.1,2,Well-Rounded
Mario Miranda,Middleweight,4,0.467,24.0,0.333,1.0,0.0,1.0,4,Pressure Striker
Mario Pinto,Heavyweight,3,0.69,2.85,0.26,2.38,0.9,1.0,4,Pressure Striker
Marion Reneau,Women's Bantamweight,12,0.41,3.2,0.63,0.62,0.8,0.4,2,Well-Rounded
Mariya Agapova,Women's Flyweight,6,0.54,4.43,0.66,0.55,0.8,0.0,2,Well-Rounded
Mark Bocek,Lightweight,7,0.409,23.0833,0.522,2.75,1.0833,0.0,3,Wrestler/Grappler
Mark De La Rosa,Bantamweight,4,0.36,3.28,0.15,0.66,0.2,0.0,2,Well-Rounded
Mark Eddiva,Featherweight,4,0.457,45.0,0.133,1.3333,0.0,0.0,0,Volume Striker
Mark Godbeer,Heavyweight,4,0.4,33.3333,0.0,0.0,0.0,0.0,0,Volume Striker
Mark Hominick,Featherweight,5,0.352,42.5,0.083,0.1667,0.1667,0.3333333333333333,0,Volume Striker
Mark Hunt,Heavyweight,16,0.417,27.0588,0.2,0.4118,0.0588,0.875,4,Pressure Striker
Mark Madsen,Lightweight,6,0.49,3.56,0.66,2.86,0.0,0.25,3,Wrestler/Grappler
Mark Munoz,Middleweight,12,0.381,25.6429,0.219,1.3571,0.3571,0.5,0,Volume Striker
Markus Perez,Middleweight,7,0.46,2.83,0.26,1.02,1.0,0.0,1,Submission Grappler
Marlon Moraes,Bantamweight,11,0.4,3.37,0.41,0.87,0.3,0.4,2,Well-Rounded
Marlon Vera,Bantamweight,23,0.47,4.18,0.39,0.47,0.8,0.4666666666666667,2,Well-Rounded
Marquel Mederos,Lightweight,4,0.5756,36.988,0.0417,0.3,0.0,0.3333333333333333,0,Volume Striker
Martin Bravo,Featherweight,3,0.39,7.66,0.35,2.6,0.0,1.0,4,Pressure Striker
Martin Buday,Heavyweight,8,0.53,4.39,0.2,0.15,0.1,0.14285714285714285,2,Well-Rounded
Martin Day,Bantamweight,3,0.45,5.39,0.5,0.7,0.7,0.0,2,Well-Rounded
Martin Kampmann,Welterweight,8,0.409,28.6875,0.3,0.8125,1.3125,0.18181818181818182,1,Submission Grappler
Marvin Vettori,Middleweight,16,0.45,4.74,0.43,1.41,0.4,0.0,2,Well-Rounded
Maryna Moroz,Women's Flyweight,6,0.33,4.42,0.24,0.7,0.6,0.0,2,Well-Rounded
Masanori Kanehara,Bantamweight,3,0.5,28.0,0.25,1.0,1.0,0.0,1,Submission Grappler
Masio Fullen,Featherweight,3,0.65,21.0,0.25,0.5,0.0,0.0,2,Well-Rounded
Mason Jones,Lightweight,6,0.42,5.98,0.55,3.48,0.2,0.3333333333333333,3,Wrestler/Grappler
Mateusz Gamrot,Lightweight,13,0.5116,4.7923,0.3947,5.2254,0.1883,0.3333333333333333,3,Wrestler/Grappler
Mateusz Rebecki,Lightweight,6,0.46,5.21,0.52,3.38,0.5,0.2,3,Wrestler/Grappler
Matheus Nicolau,Flyweight,10,0.51,3.31,0.43,1.22,0.8,0.14285714285714285,2,Well-Rounded
Matt Brown,Welterweight,25,0.55,3.76,0.46,1.68,1.3,0.75,4,Pressure Striker
Matt Dwyer,Welterweight,4,0.197,14.0,0.0,0.0,0.0,1.0,4,Pressure Striker
Matt Frevola,Lightweight,10,0.39,3.3,0.41,2.34,0.8,0.5,2,Well-Rounded
Matt Grice,Featherweight,3,0.518,28.3333,0.428,1.3333,0.3333,0.0,0,Volume Striker
Matt Hamill,Light Heavyweight,6,0.422,35.7857,0.447,2.0,0.0,0.5,0,Volume Striker
Matt Hobar,Bantamweight,3,0.44,35.0,0.33,3.0,0.0,0.0,0,Volume Striker
Matt Hughes,Welterweight,4,0.532,21.5417,0.508,1.9583,0.6667,0.3333333333333333,3,Wrestler/Grappler
Matt Mitrione,Heavyweight,13,0.541,22.0,0.0,0.0,0.3077,0.8888888888888888,4,Pressure Striker
Matt Schnell,Flyweight,12,0.4,4.07,0.45,0.6,1.2,0.0,1,Submission Grappler
Matt Wiman,Lightweight,10,0.5,3.18,0.37,2.14,1.5,0.2,1,Submission Grappler
Matthew Lopez,Bantamweight,6,0.536,28.6,0.7,2.2,1.0,0.5,3,Wrestler/Grappler
