fighter,weight_class,n_fights,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TD_pct,avg_TD_landed,avg_SUB_ATT,ko_finish_rate,cluster_id,style
Patrick Cummins,Light Heavyweight,13,0.496,39.6667,0.303,2.8333,0.0833,0.3333333333333333,0,Volume Striker
Patrick Williams,Bantamweight,4,0.467,17.6667,0.387,1.3333,0.3333,0.0,2,Well-Rounded
Paul Craig,Light Heavyweight,16,0.45,2.5,0.18,1.43,1.3,0.3333333333333333,1,Submission Grappler
Paul Felder,Lightweight,14,0.43,3.67,0.25,0.25,0.2,0.4444444444444444,2,Well-Rounded
Paul Kelly,Lightweight,4,0.368,37.875,0.583,1.125,1.0,0.2,0,Volume Striker
Paul Sass,Lightweight,5,0.368,2.75,0.25,0.25,2.25,0.0,1,Submission Grappler
Paulo Thiago,Welterweight,9,0.345,18.1667,0.257,1.1667,1.0,0.2,1,Submission Grappler
Pawel Pawlak,Welterweight,3,0.375,25.5,0.375,1.5,0.0,0.0,0,Volume Striker
Payton Talbott,Bantamweight,6,0.56,6.62,0.44,0.78,0.2,0.4,4,Pressure Striker
Pedro Munhoz,Bantamweight,20,0.41,5.38,0.16,0.48,0.5,0.3,2,Well-Rounded
Pete Rodriguez,Welterweight,3,0.43,9.28,0.0,0.0,0.0,1.0,4,Pressure Striker
Peter Sobotta,Welterweight,9,0.39,2.17,0.35,1.76,0.6,0.25,2,Well-Rounded
Petr Yan,Bantamweight,15,0.54,5.16,0.49,1.7,0.1,0.36363636363636365,2,Well-Rounded
Phil Davis,Light Heavyweight,11,0.408,37.5,0.401,2.5833,0.5,0.0,0,Volume Striker
Phil Harris,Flyweight,4,0.375,15.0,0.415,0.75,0.0,0.0,2,Well-Rounded
Phil Hawes,Middleweight,7,0.59,5.33,0.34,2.11,0.2,0.6,4,Pressure Striker
Phil Rowe,Welterweight,8,0.49,3.51,0.36,0.46,0.2,1.0,4,Pressure Striker
Philip De Fries,Heavyweight,5,0.49,15.75,0.483,1.5,0.25,0.0,2,Well-Rounded
Philipe Lins,Light Heavyweight,4,0.49,3.8,0.33,1.65,0.0,0.3333333333333333,2,Well-Rounded
Phillipe Nover,Featherweight,4,0.34,18.8333,0.083,1.0,0.6667,0.0,0,Volume Striker
Piera Rodriguez,Women's Strawweight,7,0.46,4.04,0.5,4.04,0.0,0.0,3,Wrestler/Grappler
Piotr Hallmann,Lightweight,6,0.472,49.0,0.47,2.2,0.4,0.0,0,Volume Striker
Poliana Botelho,Women's Flyweight,4,0.58,2.9,0.57,0.85,0.0,0.3333333333333333,2,Well-Rounded
Polo Reyes,Lightweight,6,0.382,45.8,0.0,0.0,0.0,0.75,0,Volume Striker
Polyana Viana,Women's Strawweight,10,0.4,2.74,0.33,0.75,1.7,0.25,1,Submission Grappler
Preston Parsons,Welterweight,6,0.51,3.54,0.36,3.46,2.3,0.0,1,Submission Grappler
Priscila Cachoeira,Women's Bantamweight,5,0.44,4.43,0.4,0.25,0.0,0.8,4,Pressure Striker
Punahele Soriano,Welterweight,4,0.53,4.42,0.51,1.97,0.1,0.5714285714285714,4,Pressure Striker
Quang Le,Bantamweight,4,0.38,2.82,0.33,2.9,0.4,0.0,2,Well-Rounded
Quillan Salkilld,Lightweight,5,0.5823,8.8862,0.288,7.3131,0.7359,0.5,3,Wrestler/Grappler
Rachael Ostovich,Women's Flyweight,4,0.43,2.32,1.0,3.28,1.3,0.0,3,Wrestler/Grappler
Rafa Garcia,Lightweight,11,0.4399,10.1696,0.4531,3.2232,0.4464,0.0,3,Wrestler/Grappler
Rafael Alves,Lightweight,4,0.48,1.85,0.25,0.29,1.5,0.0,1,Submission Grappler
Rafael Cerqueira,Light Heavyweight,4,0.43,1.56,0.0,0.0,0.0,0.0,2,Well-Rounded
Rafael Dos Anjos,Welterweight,11,0.47,3.48,0.35,1.95,0.6,0.19047619047619047,2,Well-Rounded
Rafael Feijao,Light Heavyweight,5,0.483,18.25,0.0,0.0,0.0,1.0,4,Pressure Striker
Rafael Fiziev,Lightweight,12,0.52,4.71,0.66,0.83,0.0,0.42857142857142855,2,Well-Rounded
Rafael Natal,Middleweight,16,0.468,40.125,0.273,2.25,0.4375,0.1111111111111111,0,Volume Striker
Rafaello Oliveira,Lightweight,6,0.381,26.2857,0.284,2.0,1.2857,0.0,1,Submission Grappler
Ramazan Emeev,Welterweight,7,0.45,2.53,0.29,2.37,0.7,0.0,2,Well-Rounded
Ramiz Brahimaj,Welterweight,9,0.48,2.29,0.34,1.99,1.6,0.2,1,Submission Grappler
Ramsey Nijem,Lightweight,9,0.366,25.4444,0.568,2.6667,0.6667,0.4,3,Wrestler/Grappler
Randa Markos,Women's Strawweight,17,0.43,2.97,0.28,1.12,0.2,0.0,2,Well-Rounded
Randy Brown,Welterweight,22,0.4707,6.9318,0.3714,0.7153,0.5647,0.2857142857142857,2,Well-Rounded
Randy Costa,Bantamweight,6,0.46,6.53,0.0,0.0,0.0,1.0,4,Pressure Striker
Rani Yahya,Bantamweight,13,0.38,1.71,0.3,2.73,1.8,0.0,1,Submission Grappler
Raoni Barcelos,Bantamweight,14,0.513,6.1895,0.3117,2.5184,0.7105,0.2222222222222222,3,Wrestler/Grappler
Raphael Assuncao,Bantamweight,18,0.42,3.22,0.39,1.65,0.2,0.13333333333333333,2,Well-Rounded
Raquel Pennington,Women's Bantamweight,18,0.49,4.1,0.27,0.83,0.6,0.0,2,Well-Rounded
Rashad Evans,Light Heavyweight,10,0.387,27.8636,0.349,2.4091,0.0,0.42857142857142855,0,Volume Striker
Rashid Magomedov,Lightweight,6,0.53,64.2,0.4,0.8,0.2,0.25,0,Volume Striker
Raul Rosas Jr.,Bantamweight,7,0.42,1.34,0.54,6.1,0.9,0.16666666666666666,3,Wrestler/Grappler
Raulian Paiva,Bantamweight,3,0.42,4.14,0.23,0.65,0.2,0.25,2,Well-Rounded
Ray Borg,Bantamweight,3,0.52,1.36,0.51,4.26,1.1,0.0,3,Wrestler/Grappler
Rayanne Dos Santos,Women's Strawweight,3,0.4,4.57,0.14,0.5,0.0,0.0,2,Well-Rounded
Reginaldo Vieira,Bantamweight,3,0.455,39.5,0.375,1.5,1.0,0.0,0,Volume Striker
Reinier De Ridder,Middleweight,6,0.48,2.47,0.29,2.56,0.6,0.25,2,Well-Rounded
Renan Barao,Featherweight,3,0.36,52.8182,0.41,1.49,0.5,0.2222222222222222,0,Volume Striker
Renato Moicano,Lightweight,11,0.4854,5.5858,0.4016,1.6763,0.5549,0.15384615384615385,2,Well-Rounded
Renee Forte,Lightweight,3,0.327,26.6667,0.22,0.6667,0.0,0.0,0,Volume Striker
Reuben Duran,Bantamweight,4,0.437,39.0,0.133,0.6667,0.6667,0.0,0,Volume Striker
Reza Madadi,Lightweight,7,0.567,33.3333,0.428,2.3333,0.5,0.3333333333333333,3,Wrestler/Grappler
Rhys Mckee,Welterweight,6,0.4,4.71,0.0,0.0,0.0,1.0,4,Pressure Striker
Ricardo Almeida,Welterweight,4,0.559,20.7,0.465,3.1,1.1,0.0,3,Wrestler/Grappler
Ricardo Funch,Welterweight,3,0.62,7.6667,0.053,0.3333,0.0,0.0,2,Well-Rounded
Ricardo Lamas,Featherweight,17,0.45,2.88,0.32,1.63,1.0,0.35714285714285715,1,Submission Grappler
Ricardo Ramos,Featherweight,10,0.36,2.91,0.57,2.51,1.0,0.25,3,Wrestler/Grappler
Ricardo Romero,Light Heavyweight,3,0.48,10.0,0.07,0.5,1.0,0.0,1,Submission Grappler
Richard Walsh,Welterweight,6,0.506,55.8,0.176,1.2,0.0,0.0,0,Volume Striker
Richie Vaculik,Flyweight,4,0.447,34.3333,0.42,2.0,1.0,0.0,0,Volume Striker
Rick Glenn,Featherweight,5,0.384,62.8,0.114,0.8,0.4,0.0,0,Volume Striker
Rick Story,Welterweight,16,0.427,49.1111,0.568,2.1667,0.7778,0.16666666666666666,0,Volume Striker
Ricky Simon,Bantamweight,16,0.42,3.03,0.41,4.49,0.3,0.18181818181818182,3,Wrestler/Grappler
Riki Fukuda,Middleweight,5,0.453,70.25,0.44,3.0,0.0,0.0,0,Volume Striker
Rinat Fakhretdinov,Welterweight,6,0.52,5.03,0.34,3.91,0.2,0.0,3,Wrestler/Grappler
Rinya Nakamura,Bantamweight,5,0.52,3.27,0.81,2.58,1.4,0.4,3,Wrestler/Grappler
Rob Broughton,Heavyweight,3,0.525,44.5,0.0,0.0,3.5,0.0,1,Submission Grappler
Rob Font,Bantamweight,19,0.45,5.11,0.29,0.7,0.3,0.5,4,Pressure Striker
Rob Kimmons,Middleweight,3,0.447,15.5,0.305,1.0,1.3333,0.0,1,Submission Grappler
Rob Whiteford,Featherweight,5,0.488,21.0,0.338,1.5,0.0,0.5,4,Pressure Striker
Robbie Lawler,Welterweight,17,0.47,3.85,0.64,0.65,0.0,0.65,4,Pressure Striker
Robelis Despaigne,Heavyweight,3,0.59,2.11,0.0,0.0,0.0,1.0,4,Pressure Striker
Robert Bryczek,Middleweight,3,0.4097,10.37,0.5,0.28,0.5,0.0,2,Well-Rounded
Robert Peralta,Featherweight,7,0.391,39.7143,0.429,0.5714,0.0,0.5,0,Volume Striker
Robert Valentin,Middleweight,4,0.5528,4.8691,0.3333,0.5481,1.7357,0.0,1,Submission Grappler
Robert Whittaker,Middleweight,19,0.43,4.39,0.38,0.73,0.0,0.35294117647058826,2,Well-Rounded
Roberto Sanchez,Flyweight,3,0.495,2.0,1.0,2.0,0.5,0.0,3,Wrestler/Grappler
Rodolfo Bellato,Light Heavyweight,5,0.6,5.37,0.35,1.38,0.2,1.0,4,Pressure Striker
Rodolfo Vieira,Middleweight,11,0.5341,8.3043,0.2157,2.8696,0.913,0.0,3,Wrestler/Grappler
Rodrigo Damm,Lightweight,4,0.393,49.8333,0.213,0.5,0.3333,0.0,0,Volume Striker
Rodrigo Nascimento,Heavyweight,8,0.47,3.71,0.37,1.02,0.5,0.0,2,Well-Rounded
Rogerio Bontorin,Flyweight,5,0.52,2.63,0.6,2.9,1.0,0.3333333333333333,3,Wrestler/Grappler
Rogerio Nogueira,Light Heavyweight,12,0.34,2.39,0.44,0.67,0.8,0.42105263157894735,2,Well-Rounded
Roland Delorme,Bantamweight,6,0.42,24.8333,0.375,1.8333,1.1667,0.0,1,Submission Grappler
Rolando Dy,Featherweight,4,0.373,31.3333,0.083,0.3333,0.0,0.0,0,Volume Striker
Roman Dolidze,Middleweight,11,0.41,3.19,0.43,1.16,0.7,0.5555555555555556,2,Well-Rounded
Roman Kopylov,Middleweight,11,0.5,4.59,0.47,1.14,0.0,0.8333333333333334,4,Pressure Striker
Ron Stallings,Middleweight,3,0.57,30.0,0.0,0.0,0.0,0.0,0,Volume Striker
Ronaldo Rodriguez,Flyweight,3,0.43,2.71,0.36,1.09,0.8,0.0,2,Well-Rounded
Ronda Rousey,Women's Bantamweight,8,0.493,15.8571,0.393,1.1429,0.7143,0.5,4,Pressure Striker
Rongzhu,Lightweight,4,0.51,6.02,0.62,1.35,0.1,0.4,2,Well-Rounded
Ronnie Lawrence,Bantamweight,3,0.56,2.78,0.77,6.75,0.2,0.3333333333333333,3,Wrestler/Grappler
Ronny Markes,Middleweight,4,0.545,31.25,0.455,3.0,0.5,0.0,3,Wrestler/Grappler
Rony Jason,Featherweight,8,0.464,17.125,0.166,0.375,0.5,0.5,4,Pressure Striker
Roosevelt Roberts,Lightweight,9,0.43,2.84,0.26,1.18,0.7,0.0,2,Well-Rounded
Roque Martinez,Heavyweight,3,0.53,3.28,0.5,0.38,0.4,0.0,2,Well-Rounded
Rory Macdonald,Welterweight,12,0.444,50.5,0.379,1.75,0.4167,0.3333333333333333,0,Volume Striker
Rose Namajunas,Women's Flyweight,6,0.41,3.5,0.48,1.47,0.3,0.16666666666666666,2,Well-Rounded
Ross Pearson,Lightweight,20,0.414,44.08,0.32,0.6,0.0,0.3333333333333333,0,Volume Striker
Roxanne Modafferi,Women's Flyweight,11,0.3,3.35,0.23,1.35,0.1,0.25,2,Well-Rounded
Roy Nelson,Heavyweight,18,0.383,22.6111,0.153,0.8333,0.0556,0.8888888888888888,4,Pressure Striker
Royston Wee,Bantamweight,3,0.64,13.0,0.8,4.5,0.0,0.0,3,Wrestler/Grappler
Ruan Potts,Heavyweight,3,0.17,5.0,0.0,0.0,1.0,0.0,1,Submission Grappler
Ruslan Magomedov,Heavyweight,3,0.415,55.0,0.5,0.5,0.0,0.0,0,Volume Striker
Russell Doane,Bantamweight,7,0.409,19.2857,0.19,1.4286,0.5714,0.3333333333333333,2,Well-Rounded
Ryan Bader,Light Heavyweight,16,0.372,25.8421,0.257,2.1579,0.2632,0.2857142857142857,0,Volume Striker
Ryan Benoit,Flyweight,8,0.39,2.88,0.22,0.28,0.4,0.6666666666666666,4,Pressure Striker
Ryan Hall,Featherweight,4,0.5,2.38,0.09,0.22,2.2,0.0,1,Submission Grappler
Ryan Janes,Middleweight,4,0.393,56.0,0.333,0.3333,0.0,0.0,0,Volume Striker
Ryan Jensen,Middleweight,3,0.487,14.2857,0.333,0.5714,0.5714,0.0,2,Well-Rounded
Ryan Jimmo,Light Heavyweight,7,0.703,28.6667,0.25,0.3333,0.0,0.6666666666666666,4,Pressure Striker
Ryan Laflare,Welterweight,10,0.4,43.5556,0.311,2.3333,0.2222,0.0,0,Volume Striker
Ryan Loder,Middleweight,3,0.69,5.1,0.14,1.37,1.4,1.0,4,Pressure Striker
Ryan Spann,Heavyweight,3,0.3997,4.72,0.32,1.2297,1.7026,0.3333333333333333,1,Submission Grappler
Sabah Homasi,Welterweight,3,0.53,36.0,0.5,1.0,0.0,0.0,0,Volume Striker
Sabina Mazo,Women's Flyweight,6,0.43,6.1,0.8,0.65,0.2,0.0,2,Well-Rounded
Sage Northcutt,Welterweight,3,0.581,34.7143,0.416,1.1429,0.2857,0.2,0,Volume Striker
Said Nurmagomedov,Bantamweight,10,0.48,3.08,0.15,0.86,1.1,0.2857142857142857,1,Submission Grappler
Saidyokub Kakhramonov,Bantamweight,3,0.51,2.05,0.48,6.63,1.9,0.0,3,Wrestler/Grappler
Saimon Oliveira,Bantamweight,4,0.42,2.62,0.28,1.18,1.2,0.0,1,Submission Grappler
Salim Touahri,Welterweight,3,0.46,2.6,0.0,0.0,0.0,0.0,2,Well-Rounded
Sam Alvey,Middleweight,16,0.44,3.28,0.14,0.06,0.1,0.5,4,Pressure Striker
Sam Hughes,Women's Strawweight,12,0.47,4.41,0.29,1.12,0.2,0.16666666666666666,2,Well-Rounded
Sam Patterson,Welterweight,5,0.37,2.62,0.5,0.82,1.6,0.4,1,Submission Grappler
Sam Sicilia,Featherweight,11,0.389,22.2727,0.342,0.9091,0.5455,0.6,4,Pressure Striker
Sam Stout,Lightweight,11,0.291,52.2632,0.202,0.5263,0.1053,0.1111111111111111,0,Volume Striker
Santiago Ponzinibbio,Welterweight,19,0.41,4.78,0.27,0.6,0.0,0.5833333333333334,4,Pressure Striker
Sara Mcmann,Women's Bantamweight,13,0.46,2.26,0.65,4.38,0.5,0.1,3,Wrestler/Grappler
Sarah Kaufman,Women's Bantamweight,3,0.48,118.0,0.333,0.3333,0.0,0.0,0,Volume Striker
Sarah Moras,Women's Bantamweight,8,0.38,2.18,0.22,0.77,0.9,0.3333333333333333,2,Well-Rounded
Sasha Palatnikov,Welterweight,3,0.53,6.69,1.0,0.72,0.0,1.0,4,Pressure Striker
Scott Askham,Middleweight,6,0.586,23.8,0.1,0.2,0.6,1.0,4,Pressure Striker
Scott Holtzman,Lightweight,13,0.47,4.32,0.56,1.88,0.2,0.2857142857142857,2,Well-Rounded
Scott Jorgensen,Bantamweight,8,0.412,34.7273,0.32,1.7273,0.1818,0.25,0,Volume Striker
Sean Brady,Welterweight,10,0.55,3.96,0.53,3.53,0.9,0.0,3,Wrestler/Grappler
Sean Mccorkle,Heavyweight,3,0.22,2.0,0.5,0.5,2.0,0.0,1,Submission Grappler
Sean O'Connell,Light Heavyweight,7,0.48,49.1667,0.0,0.0,0.3333,1.0,4,Pressure Striker
Sean O'Malley,Bantamweight,14,0.6,6.05,0.42,0.24,0.2,0.6363636363636364,4,Pressure Striker
Sean Pierson,Welterweight,6,0.348,52.4,0.166,0.4,0.4,0.0,0,Volume Striker
Sean Soriano,Featherweight,4,0.61,3.18,0.55,1.33,0.0,0.0,2,Well-Rounded
Sean Spencer,Welterweight,7,0.313,62.7143,0.071,0.1429,0.0,0.0,0,Volume Striker
Sean Strickland,Middleweight,14,0.42,6.04,0.64,0.71,0.2,0.25,2,Well-Rounded
Sean Woodson,Featherweight,8,0.46,5.57,0.55,0.58,0.3,0.375,2,Well-Rounded
Sedriques Dumas,Middleweight,9,0.4788,2.5248,0.2712,1.3013,0.1942,0.0,2,Well-Rounded
Seohee Ham,Women's Strawweight,4,0.43,73.6667,0.0,0.0,0.3333,0.0,0,Volume Striker
Sergei Pavlovich,Heavyweight,11,0.44,4.43,0.25,0.48,0.0,0.8571428571428571,4,Pressure Striker
Sergey Khandozhko,Welterweight,3,0.41,3.41,0.28,0.76,0.0,0.0,2,Well-Rounded
Sergey Morozov,Bantamweight,5,0.43,3.01,0.31,3.63,0.0,0.0,3,Wrestler/Grappler
Serghei Spivac,Heavyweight,15,0.47,3.57,0.59,3.82,0.5,0.375,3,Wrestler/Grappler
Sergio Moraes,Welterweight,12,0.42,30.1667,0.38,1.2,0.4,0.125,0,Volume Striker
Sergio Pettis,Flyweight,9,0.37,3.88,0.4,0.85,0.4,0.0,2,Well-Rounded
Serhiy Sidey,Bantamweight,3,0.39,4.49,0.25,1.58,1.3,0.5,1,Submission Grappler
Seth Baczynski,Welterweight,10,0.336,31.0,0.117,0.6,0.5,0.2,0,Volume Striker
Seungwoo Choi,Featherweight,11,0.38,3.56,0.54,0.83,0.0,0.25,2,Well-Rounded
Shamil Abdurakhimov,Heavyweight,11,0.44,2.41,0.23,1.01,0.1,0.4,2,Well-Rounded
Shamil Gaziev,Heavyweight,6,0.46,11.9106,0.3333,1.0379,0.2589,0.6,4,Pressure Striker
Shana Dobson,Women's Flyweight,6,0.37,3.34,0.5,0.84,0.0,0.0,2,Well-Rounded
Shane Burgos,Featherweight,11,0.52,7.4,0.44,0.43,0.4,0.2857142857142857,2,Well-Rounded
Shane Campbell,Lightweight,4,0.575,41.75,0.265,1.0,0.0,0.0,0,Volume Striker
Shane Carwin,Heavyweight,3,0.51,22.2,0.1,0.2,0.0,1.0,4,Pressure Striker
Shane Roller,Lightweight,6,0.302,24.8,0.166,1.0,0.4,0.5,0,Volume Striker
Shane Young,Featherweight,6,0.4,5.19,0.18,0.63,0.0,0.5,4,Pressure Striker
Shannon Ross,Flyweight,3,0.39,5.96,0.0,0.0,0.0,0.0,2,Well-Rounded
Shara Magomedov,Middleweight,6,0.62,5.93,0.0,0.0,0.0,0.5,4,Pressure Striker
Shauna Bannon,Women's Strawweight,4,0.43,4.32,0.0,0.0,0.7,0.0,2,Well-Rounded
Shavkat Rakhmonov,Welterweight,7,0.61,4.12,0.29,1.49,1.8,0.16666666666666666,1,Submission Grappler
Shawn Jordan,Heavyweight,10,0.483,23.8889,0.278,0.8889,0.0,1.0,4,Pressure Striker
Shayilan Nuerdanbieke,Featherweight,6,0.45,1.95,0.35,3.3,0.2,0.3333333333333333,3,Wrestler/Grappler
Sheymon Moraes,Featherweight,5,0.42,3.0,0.0,0.0,0.0,0.0,2,Well-Rounded
Shinsho Anzai,Welterweight,4,0.61,35.0,0.42,1.3333,0.0,0.0,0,Volume Striker
Sijara Eubanks,Women's Flyweight,4,0.43,4.3,0.44,1.9,0.3,0.2,2,Well-Rounded
Silvana Gomez Juarez,Women's Strawweight,4,0.32,4.26,0.0,0.0,0.0,1.0,4,Pressure Striker
Simeon Thoresen,Welterweight,3,0.43,27.0,0.125,0.5,1.5,0.0,1,Submission Grappler
Siyar Bahadurzada,Welterweight,7,0.49,3.23,0.61,1.32,0.3,0.75,4,Pressure Striker
Soa Palelei,Heavyweight,6,0.62,17.0,0.7,1.3333,0.0,1.0,4,Pressure Striker
Song Kenan,Welterweight,11,0.46,4.49,0.3,0.42,0.0,0.5,4,Pressure Striker
Song Yadong,Bantamweight,13,0.43,4.42,0.39,0.78,0.1,0.45454545454545453,2,Well-Rounded
Spencer Fisher,Lightweight,5,0.459,35.75,0.175,0.5625,0.625,0.2222222222222222,0,Volume Striker
Stefan Struve,Heavyweight,20,0.47,3.13,0.5,0.58,1.7,0.38461538461538464,1,Submission Grappler
Stephan Bonnar,Light Heavyweight,4,0.414,31.9286,0.243,1.2143,0.9286,0.25,0,Volume Striker
Stephanie Egger,Women's Bantamweight,6,0.46,2.2,0.42,2.48,0.6,0.3333333333333333,3,Wrestler/Grappler
Stephanie Luciano,Women's Strawweight,3,0.42,5.2,0.71,1.3,0.3,0.0,2,Well-Rounded
Stephen Thompson,Welterweight,21,0.46,4.05,0.35,0.23,0.0,0.5,4,Pressure Striker
Steve Erceg,Flyweight,7,0.4622,22.0,0.279,1.1295,0.3455,0.3333333333333333,2,Well-Rounded
Steve Garcia,Featherweight,6,0.49,5.39,0.4,0.86,0.4,0.875,4,Pressure Striker
Steven Peterson,Featherweight,8,0.4,4.76,0.26,1.42,0.7,0.3333333333333333,2,Well-Rounded
Steven Siler,Featherweight,9,0.446,33.75,0.093,0.375,1.25,0.2,0,Volume Striker
Stevie Ray,Lightweight,11,0.44,40.2222,0.46,0.75,0.6,0.3333333333333333,0,Volume Striker
Stewart Nicoll,Flyweight,3,0.4074,48.2143,0.07,0.8538,0.0,0.0,0,Volume Striker
Stipe Miocic,Heavyweight,19,0.52,4.67,0.34,1.74,0.0,0.6428571428571429,4,Pressure Striker
Sultan Aliev,Welterweight,4,0.52,11.6667,0.33,1.0,0.0,0.0,2,Well-Rounded
Sumudaerji,Flyweight,5,0.5,4.43,0.35,0.67,0.5,0.2,2,Well-Rounded
Suyoung You,Bantamweight,4,0.47,2.15,0.47,4.26,0.4,0.0,3,Wrestler/Grappler
Syuri Kondo,Women's Strawweight,4,0.44,5.4,0.0,0.0,0.3,0.0,2,Well-Rounded
Tabatha Ricci,Women's Strawweight,10,0.3691,7.6964,0.383,2.5089,0.0893,0.0,2,Well-Rounded
Tae Hyun Bang,Lightweight,5,0.385,31.5,0.5,0.5,0.5,0.5,0,Volume Striker
Tafon Nchukwi,Middleweight,3,0.52,5.57,0.57,0.76,0.0,0.3333333333333333,2,Well-Rounded
Tagir Ulanbekov,Flyweight,8,0.48,3.01,0.39,2.73,1.5,0.0,1,Submission Grappler
Tai Tuivasa,Heavyweight,18,0.4865,4.5356,0.0,0.0,0.0,0.7777777777777778,4,Pressure Striker
Taila Santos,Women's Flyweight,7,0.48,3.39,0.76,2.0,1.1,0.0,3,Wrestler/Grappler
Tainara Lisboa,Women's Bantamweight,4,0.44,2.01,0.31,1.67,0.3,0.0,2,Well-Rounded
Takanori Gomi,Lightweight,13,0.283,30.4167,0.042,0.0833,0.0,0.5,0,Volume Striker
Takashi Sato,Welterweight,7,0.41,2.21,0.37,0.76,0.0,1.0,4,Pressure Striker
Takeya Mizugaki,Bantamweight,14,0.38,46.1538,0.328,1.2308,0.0769,0.125,0,Volume Striker
Talita Alencar,Women's Strawweight,5,0.3575,14.328,0.328,3.016,0.48,0.0,2,Well-Rounded
Talita Bernardo,Women's Bantamweight,4,0.45,42.6667,0.28,2.0,0.6667,0.0,0,Volume Striker
Tallison Teixeira,Heavyweight,3,0.64,5.02,0.3,2.48,0.0,1.0,4,Pressure Striker
Tamdan Mccrory,Middleweight,3,0.5,18.0,0.35,1.375,1.375,0.25,1,Submission Grappler
Tamires Vidal,Women's Bantamweight,4,0.53,2.91,0.0,0.0,0.7,1.0,4,Pressure Striker
Tanner Boser,Heavyweight,9,0.5299,12.1473,0.0,0.0,0.0,0.8,4,Pressure Striker
Tarec Saffiedine,Welterweight,6,0.448,60.0,0.132,0.6,0.2,0.0,0,Volume Striker
Tatiana Suarez,Women's Strawweight,9,0.5846,4.4193,0.4933,4.5216,0.6978,0.125,3,Wrestler/Grappler
Tatsuro Taira,Flyweight,8,0.6,2.94,0.46,3.12,1.6,0.2857142857142857,3,Wrestler/Grappler
Tatsuya Kawajiri,Featherweight,6,0.6,22.6,0.324,3.0,0.4,0.0,3,Wrestler/Grappler
Taylor Lapilus,Bantamweight,7,0.48,4.59,0.33,0.27,0.3,0.2,2,Well-Rounded
Tecia Pennington,Women's Strawweight,4,0.48,4.73,0.14,0.56,0.1,0.09090909090909091,2,Well-Rounded
Tecia Torres,Women's Strawweight,15,0.47,4.78,0.14,0.61,0.1,0.1111111111111111,2,Well-Rounded
Teemu Packalen,Lightweight,4,0.54,2.57,0.25,2.31,1.5,0.0,1,Submission Grappler
Tereza Bleda,Women's Flyweight,3,0.51,2.92,0.22,1.72,0.7,0.0,2,Well-Rounded
Terrance Mckinney,Lightweight,13,0.55,6.53,0.4,3.31,2.1,0.5714285714285714,1,Submission Grappler
Terrion Ware,Bantamweight,3,0.333,77.6667,0.11,0.6667,0.0,0.0,0,Volume Striker
Terry Etim,Lightweight,4,0.448,21.6,0.133,0.3,1.0,0.16666666666666666,1,Submission Grappler
Teruto Ishihara,Bantamweight,3,0.468,34.75,0.073,0.375,0.0,0.6666666666666666,4,Pressure Striker
Thales Leites,Middleweight,13,0.417,25.4,0.274,1.75,1.0,0.16666666666666666,1,Submission Grappler
Themba Gorimbo,Welterweight,8,0.5762,9.5225,0.6143,4.4944,0.325,0.25,3,Wrestler/Grappler
Thiago Alves,Welterweight,14,0.417,41.4,0.32,0.71,0.31,0.5833333333333334,0,Volume Striker
Thiago Moises,Lightweight,16,0.4216,5.669,0.3365,1.3618,1.0175,0.2,1,Submission Grappler
Thiago Santos,Light Heavyweight,9,0.48,3.72,0.33,0.88,0.1,0.7857142857142857,4,Pressure Striker
Thiago Silva,Light Heavyweight,3,0.552,28.7273,0.318,0.5455,0.3636,1.0,4,Pressure Striker
Thiago Tavares,Featherweight,4,0.429,19.2353,0.465,2.3529,0.9412,0.1,3,Wrestler/Grappler
Thibault Gouti,Lightweight,6,0.312,20.4,0.16,0.8,0.2,1.0,4,Pressure Striker
Thomas Almeida,Bantamweight,9,0.43,4.84,0.14,0.17,0.0,0.8,4,Pressure Striker
Thomas Petersen,Heavyweight,6,0.5972,8.304,0.4167,2.968,0.4,0.0,3,Wrestler/Grappler
Tiago Trator,Featherweight,3,0.46,40.3333,0.083,0.3333,0.3333,0.0,0,Volume Striker
Tim Boetsch,Middleweight,17,0.512,25.8261,0.171,0.913,0.4783,0.5833333333333334,4,Pressure Striker
Tim Elliott,Flyweight,20,0.4355,8.0953,0.4563,3.6167,1.04,0.0,3,Wrestler/Grappler
Tim Johnson,Heavyweight,7,0.432,34.5,0.262,1.0,0.0,0.3333333333333333,0,Volume Striker
Tim Kennedy,Middleweight,5,0.453,37.0,0.238,1.75,0.25,0.3333333333333333,0,Volume Striker
Tim Means,Welterweight,25,0.49,5.04,0.4,1.14,0.2,0.4,2,Well-Rounded
Tito Ortiz,Light Heavyweight,5,0.518,25.3077,0.523,2.1154,0.3077,0.4666666666666667,3,Wrestler/Grappler
Tj Brown,Featherweight,7,0.44,3.37,0.57,3.41,1.3,0.0,3,Wrestler/Grappler
Tj Dillashaw,Bantamweight,17,0.41,5.09,0.3,1.56,0.8,0.5384615384615384,2,Well-Rounded
Tj Grant,Lightweight,5,0.517,48.4,0.336,1.4,0.5,0.2857142857142857,0,Volume Striker
Tj Waldburger,Welterweight,8,0.589,11.7143,0.543,1.7143,2.5714,0.0,1,Submission Grappler
Todd Duffee,Heavyweight,4,0.555,20.75,0.0,0.0,0.0,1.0,4,Pressure Striker
Tom Aspinall,Heavyweight,10,0.67,7.63,0.8,2.62,1.3,0.75,3,Wrestler/Grappler
