fighter,glicko_rating,glicko_rd,glicko_sigma
Jon Jones,2285.458546305602,116.71484327452019,0.05998194510471039
Ilia Topuria,2267.2665185158894,135.1784477779103,0.0599949967832725
Islam Makhachev,2245.4992047971255,102.93158612516766,0.05998884423951093
Shavkat Rakhmonov,2224.8546222927657,146.65258489236442,0.05999573940421784
Khabib Nurmagomedov,2221.709399397732,121.06720820123952,0.05998913002071136
Movsar Evloev,2209.241247430811,129.9091530875888,0.0599936523478263
Alexander Volkanovski,2196.186087495245,98.39783342408451,0.05999189629245446
Alex Pereira,2178.3597640964044,117.19709044259447,0.060002760138316354
Dricus Du Plessis,2167.397416815528,117.67857142653847,0.05999554847889228
Kamaru Usman,2151.428876876506,103.17275076414306,0.05999391846626105
Michael Morales,2146.7939747180008,143.49562257376033,0.05999500781388028
Ian Machado Garry,2144.489182769224,132.75983095707147,0.05999629875226403
Merab Dvalishvili,2143.9600283025,102.28314201946374,0.06000762848715023
Lerone Murphy,2131.3179850396673,140.81059987352,0.05999429235590126
Khamzat Chimaev,2129.2141261233746,122.68470510085406,0.06000265106847182
Carlos Prates,2123.4221279077137,129.27962749523414,0.0599969341051392
Georges St-Pierre,2123.0612882911046,156.67964991449122,0.05999604862788885
Yaroslav Amosov,2121.3434220653976,237.73061640087113,0.06000464957457817
Aljamain Sterling,2112.64312014226,92.42851012207323,0.05999702455317912
Umar Nurmagomedov,2109.620865030977,131.16883397188013,0.05999516872639887
Francis Ngannou,2106.4934912421977,110.35761066265641,0.05999784687992852
Justin Gaethje,2097.5386605247486,104.77945118120523,0.06000230883214324
Daniel Cormier,2094.9705173852917,113.0869511063692,0.05999444882364585
Ciryl Gane,2089.9553101799493,113.45545626096016,0.05998726098038227
Arman Tsarukyan,2089.588967289002,124.06266444309239,0.059995790925743704
Nassourdine Imavov,2086.870245869947,119.28348694037909,0.06000414903714676
Natalia Silva,2083.766652203683,146.89960741813408,0.05999295572233088
Max Holloway,2081.5352876761976,84.49355561723371,0.05999153244532194
Sean Brady,2074.4567065540805,115.31115323012004,0.059993952315233794
Diego Lopes,2073.0439916616815,129.72303608075666,0.059996531277570625
Demetrious Johnson,2070.6916156862953,116.73107011832593,0.059992906079455496
Michael Page,2070.673205143088,171.3391860589721,0.0600009700430221
Valentina Shevchenko,2070.439146002407,107.5153964214219,0.059999497049332204
Jack Della Maddalena,2059.11169640904,124.05684700511135,0.05999293699727305
Caio Borralho,2057.8455752460654,136.5426932381585,0.059993955337077784
Petr Yan,2057.0930421105363,103.04032987475843,0.06000204573421839
Stipe Miocic,2056.960438937106,101.7708949140798,0.05999880502889167
Tom Aspinall,2055.5138896566114,120.2032613845771,0.05999242692361865
Amanda Nunes,2051.905068338944,110.88319794599632,0.05999239914579163
Magomed Ankalaev,2049.716938983111,108.63452367676635,0.05999635422889026
Rinat Fakhretdinov,2049.1791235748346,164.7686259986988,0.05999732656981144
Jiri Prochazka,2048.643964708656,131.8061568885433,0.060001061802682575
Robert Whittaker,2047.2672229394607,92.99654342810031,0.06000255180737638
Leon Edwards,2047.188464629758,98.96949185145169,0.060008560618390744
Grant Dawson,2045.12179508794,125.1747116198118,0.059996501484015266
Conor Mcgregor,2042.9175367070543,113.4968514295364,0.06000205768793708
Manon Fiorot,2042.102629627801,131.76925133306435,0.05999413887646848
Sean Strickland,2040.4062293882257,91.96832327326028,0.060001227309526416
Kayla Harrison,2038.8786794702637,192.29071794156846,0.05999996484140667
Cory Sandhagen,2037.9525191173311,100.97279015568485,0.059995815412320797
Tatiana Suarez,2033.409724272604,139.33051914453327,0.059992158221092766
Zhang Weili,2029.8123503340144,128.22452183388657,0.06000143191956091
Colby Covington,2027.017064727801,104.75496612451396,0.05999125159600694
Israel Adesanya,2026.6647627765674,98.51211433776702,0.06000703542046939
Yoel Romero,2025.6857600639983,116.6710520455934,0.06000213439805281
Kevin Vallejos,2024.451750426098,173.81968990671598,0.0599997958083455
Brendan Allen,2022.953224864612,105.04510790964045,0.059997081587782226
Alexander Volkov,2022.0967202494176,97.16047964826004,0.05999354490998757
Dustin Poirier,2021.0369382438728,86.61670949045747,0.059991936398924056
Belal Muhammad,2020.6673209109863,96.16119333614593,0.05999886271483226
Farid Basharat,2019.584942153413,163.92268216583585,0.059995763088759625
Tj Dillashaw,2018.145430661059,104.17499112759434,0.06000492953692659
Charles Oliveira,2017.7503547807023,82.12995100798186,0.060001234426433646
Erin Blanchfield,2014.9891207621108,128.6140847398493,0.05999334093013763
